ParName   Value   Gradient
log_n_init(1)      15.5148  9.54406e-06
log_n_init(2)      16.6867   6.3109e-05
log_n_init(3)      17.0698  4.35959e-05
log_n_init(4)       17.147  0.000154978
log_n_init(5)      17.1295   2.9129e-05
log_n_init(6)      17.2357  6.21202e-05
log_n_init(7)      16.8463  5.85024e-05
log_n_init(8)      16.8979  3.92992e-05
log_n_init(9)      16.7821  3.62107e-05
log_n_init(10)      16.4206  2.42528e-05
log_n_init(11)      16.3145  3.24906e-06
log_n_init(12)      16.2928  5.33204e-06
log_n_init(13)      16.1518 -5.82875e-06
log_n_init(14)      16.2056 -1.89306e-05
log_n_init(15)      15.9755 -1.99835e-05
log_n_init(16)      15.8998 -3.60241e-05
log_n_init(17)      15.8111 -2.93693e-05
log_n_init(18)      15.8103 -9.15076e-06
log_n_init(19)      15.6688 -4.79726e-05
log_n_init(20)      15.6568 -3.74935e-05
log_n_init(21)      15.4029 -4.84309e-05
log_n_init(22)      14.9247 -3.46532e-05
log_n_init(23)      14.5537 -1.97922e-05
log_n_init(24)      14.3107 -4.39746e-06
log_n_init(25)      13.1572 -3.61588e-06
nat_m_dev(1975)     -1.12094 -6.68654e-06
nat_m_dev(1976)    -0.435089 -2.86961e-05
nat_m_dev(1977)     0.208905 -5.44968e-05
nat_m_dev(1978)     0.894447 -8.85676e-05
nat_m_dev(1979)     0.220701 -6.81307e-05
nat_m_dev(1980)      1.49109 -0.000262879
nat_m_dev(1981)     0.568386  -0.00011238
nat_m_dev(1982)      1.07293 -0.000119306
nat_m_dev(1983)     0.656136 -5.96763e-05
nat_m_dev(1984)      1.81252 -0.000250828
nat_m_dev(1985)    -0.116393 -1.33812e-05
nat_m_dev(1986)    -0.575233 -2.26887e-05
nat_m_dev(1987)     0.164835  -6.0263e-05
nat_m_dev(1988)    0.0230878 -3.40517e-05
nat_m_dev(1989)     0.348846 -1.83037e-05
nat_m_dev(1990)      0.57812 -2.63468e-05
nat_m_dev(1991)    -0.487006  2.89794e-05
nat_m_dev(1992)    -0.858616  2.98953e-05
nat_m_dev(1993)    -0.672158  2.51007e-05
nat_m_dev(1994)     -0.73194  2.32292e-05
nat_m_dev(1995)     -0.80929  2.59825e-05
nat_m_dev(1996)    -0.606736  2.40727e-06
nat_m_dev(1997)    0.0992461   -1.944e-06
nat_m_dev(1998)     0.628025 -1.01628e-05
nat_m_dev(1999)     0.103154 -1.19926e-05
nat_m_dev(2000)    -0.744985 -6.66529e-06
nat_m_dev(2001)     -1.42842 -1.93594e-05
nat_m_dev(2002)     -1.50852 -3.05636e-05
nat_m_dev(2003)     -1.22182 -3.57557e-05
nat_m_dev(2004)    -0.355477 -8.82288e-05
nat_m_dev(2005)     0.903733 -0.000240196
nat_m_dev(2006)     0.638363 -0.000187522
nat_m_dev(2007)     0.649017 -0.000113444
nat_m_dev(2008)     0.410949 -8.47471e-05
nat_m_dev(2009)    -0.655305 -5.85172e-05
nat_m_dev(2010)     -1.15434 -4.83873e-06
nat_m_dev(2011)     -1.07463 -2.18689e-06
nat_m_dev(2012)     -1.07773  1.68975e-05
nat_m_dev(2013)      -0.8608  4.19922e-05
nat_m_dev(2014)     0.411338  7.52101e-05
nat_m_dev(2015)      1.01095  0.000319213
nat_m_dev(2016)     0.912397  0.000166455
nat_m_dev(2017)     0.713935  0.000223257
nat_m_dev(2018)     0.860453  0.000322104
nat_m_dev(2019)      1.34725   0.00031334
nat_m_dev(2020)     0.257135  0.000249232
nat_m_dev(2021)      1.25236  0.000159225
nat_m_dev(2022)    -0.684161  8.82105e-06
nat_m_dev(2023)            0 -3.34746e-05
log_avg_rec       16.784  0.000522667
rec_devs(1975)     0.981356  9.87955e-05
rec_devs(1976)      1.18134  5.60035e-05
rec_devs(1977)      2.04986  6.36717e-05
rec_devs(1978)      1.91924  5.52931e-05
rec_devs(1979)      1.97517  3.27423e-05
rec_devs(1980)      2.87145  5.79489e-05
rec_devs(1981)      2.32527  8.07044e-05
rec_devs(1982)      1.94082  7.90529e-05
rec_devs(1983)     0.560052  3.91083e-05
rec_devs(1984)     0.980861  7.14383e-05
rec_devs(1985)    -0.814218  2.31173e-05
rec_devs(1986)     -1.33034 -5.10923e-06
rec_devs(1987)    -0.397377 -2.41624e-05
rec_devs(1988)   -0.0753131 -3.85106e-05
rec_devs(1989)    -0.691776 -3.86921e-05
rec_devs(1990)      -1.5012 -5.10123e-05
rec_devs(1991)     -1.52745 -2.10334e-05
rec_devs(1992)     -1.24093 -2.30081e-05
rec_devs(1993)     0.432809 -4.72579e-05
rec_devs(1994)    -0.960683  2.51438e-05
rec_devs(1995)    -0.682804  2.79618e-05
rec_devs(1996)    -0.278336  2.22192e-05
rec_devs(1997)     0.533573  6.61743e-05
rec_devs(1998)    -0.950443  2.18356e-05
rec_devs(1999)    -0.159053  7.34082e-05
rec_devs(2000)     0.322875  0.000173858
rec_devs(2001)    -0.385507  9.39608e-05
rec_devs(2002)    0.0989222  0.000135085
rec_devs(2003)     0.971419  0.000305062
rec_devs(2004)     0.280513  0.000127039
rec_devs(2005)     0.328208  0.000164421
rec_devs(2006)    -0.916543  3.43662e-05
rec_devs(2007)    -0.983995  1.17578e-05
rec_devs(2008)    -0.432146 -2.84285e-05
rec_devs(2009)     -1.48022 -6.47036e-05
rec_devs(2010)    -0.313285 -0.000142803
rec_devs(2011)     -1.81366 -6.78044e-05
rec_devs(2012)     -1.24566 -0.000123507
rec_devs(2013)     -0.29449 -0.000304628
rec_devs(2014)    -0.273672 -0.000431557
rec_devs(2015)     -1.26869  -0.00015294
rec_devs(2016)     -1.73298 -9.48363e-05
rec_devs(2017)     0.282267 -0.000170368
rec_devs(2018)      0.63918 -0.000292907
rec_devs(2019)    -0.440195 -2.68682e-05
rec_devs(2020)    -0.680425 -5.95663e-06
rec_devs(2021)     -3.52475 -5.53217e-06
rec_devs(2022)     -3.23445 -1.51508e-05
rec_devs(2023)            0  4.36959e-06
prop_rec(1)      12.6407 -5.28632e-06
prop_rec(2)      12.4667 -1.83726e-05
log_f     -1.38073  1.76304e-06
f_dev(1)     0.645065  6.81436e-06
f_dev(2)     0.556744 -2.70959e-05
f_dev(3)     0.439434 -5.97355e-05
f_dev(4)        0.655 -4.74135e-05
f_dev(5)      1.00643 -1.89565e-05
f_dev(6)      1.91219 -2.56689e-06
f_dev(7)      2.36852 -1.69526e-05
f_dev(8)    -0.072615  7.21155e-05
f_dev(9)    -0.305308  3.04667e-05
f_dev(10)     0.360433  3.33181e-05
f_dev(11)     0.969545  1.35023e-05
f_dev(12)     0.401208  7.94285e-06
f_dev(13)    -0.490528 -1.80119e-05
f_dev(14)    -0.281258  2.35481e-06
f_dev(15)     0.473265  7.55542e-05
f_dev(16)     0.685874  1.62303e-05
f_dev(17)     0.226612  1.98392e-05
f_dev(18)     0.826947  6.44646e-06
f_dev(19)    -0.708251 -2.52484e-05
f_dev(20)    -0.755989 -4.86501e-05
f_dev(21)     0.387651 -2.81643e-05
f_dev(22)     0.218195  2.65496e-05
f_dev(23)    -0.289237 -2.58335e-06
f_dev(24)    -0.496229  -8.6483e-06
f_dev(25)    -0.530987 -1.28905e-05
f_dev(26)    -0.159545  -2.8306e-06
f_dev(27)    -0.521241  1.84683e-07
f_dev(28)    -0.352165 -6.56167e-06
