ParName   Value   Gradient
log_n_init(1)      9.95371 -1.63981e-05
log_n_init(2)       13.536 -3.87898e-06
log_n_init(3)      1.35642 -7.22411e-06
log_n_init(4)      1.01024  1.89955e-05
log_n_init(5)      13.4579 -3.03186e-05
log_n_init(6)      1.01327  4.20769e-06
log_n_init(7)      13.7789   1.0679e-05
log_n_init(8)      13.5302  1.55841e-06
log_n_init(9)      13.3745 -1.33971e-05
log_n_init(10)      12.5022 -1.75478e-05
log_n_init(11)       12.513 -2.75995e-05
log_n_init(12)      11.9188 -3.20988e-05
log_n_init(13)      12.0631 -3.12388e-05
log_n_init(14)       12.655 -4.99747e-05
log_n_init(15)       12.648 -3.72558e-05
log_n_init(16)      12.7817 -2.47739e-05
log_n_init(17)      12.8403 -2.40539e-05
log_n_init(18)      13.0302 -3.66637e-05
log_n_init(19)      12.8417 -8.86198e-06
log_n_init(20)      12.8414 -1.17002e-05
log_n_init(21)      12.6922 -4.77892e-06
log_n_init(22)      12.7503 -1.26267e-05
log_n_init(23)      12.7882 -7.62589e-06
log_n_init(24)      12.4409 -5.85618e-06
log_n_init(25)       12.713 -8.04421e-06
log_n_init(26)       12.607 -6.35749e-06
log_n_init(27)       11.247 -2.46278e-06
log_n_init(28)       11.319 -5.28568e-06
log_n_init(29)      9.34715 -3.30935e-06
log_n_init(30)      1.01048 -4.18302e-06
log_n_init(31)      1.01052 -5.49738e-06
nat_m_dev(1975)     -3.62829 -9.34001e-05
nat_m_dev(1976)      -2.9597 -6.91952e-05
nat_m_dev(1977)     -2.27929  -3.1269e-05
nat_m_dev(1978)     -1.57762 -1.47912e-05
nat_m_dev(1979)    -0.858857  6.28974e-07
nat_m_dev(1980)    -0.147513  8.16442e-06
nat_m_dev(1981)     0.490683  2.98303e-05
nat_m_dev(1982)     0.956439  5.63179e-05
nat_m_dev(1983)      1.14796  6.88117e-05
nat_m_dev(1984)     0.973081  4.19241e-05
nat_m_dev(1985)     0.502228  2.30286e-05
nat_m_dev(1986)    -0.051994  1.50283e-05
nat_m_dev(1987)    -0.520574  1.21737e-05
nat_m_dev(1988)    -0.816003  8.76561e-06
nat_m_dev(1989)    -0.905378  1.70581e-05
nat_m_dev(1990)    -0.803491  1.17299e-05
nat_m_dev(1991)    -0.559176  1.69159e-05
nat_m_dev(1992)    -0.245834  1.83351e-05
nat_m_dev(1993)    0.0617982  1.88104e-05
nat_m_dev(1994)     0.313918  1.92568e-05
nat_m_dev(1995)     0.507906  1.56271e-05
nat_m_dev(1996)     0.643807  1.23525e-05
nat_m_dev(1997)     0.740456  2.58173e-06
nat_m_dev(1998)     0.824021 -3.17737e-06
nat_m_dev(1999)     0.890728   -1.101e-05
nat_m_dev(2000)     0.958647 -2.57304e-06
nat_m_dev(2001)      1.00067 -1.47522e-06
nat_m_dev(2002)     0.997249  -8.5775e-06
nat_m_dev(2003)      0.95487 -1.03019e-05
nat_m_dev(2004)      0.86638 -8.97489e-06
nat_m_dev(2005)     0.760644 -4.51181e-06
nat_m_dev(2006)     0.640682 -2.45814e-06
nat_m_dev(2007)     0.534333 -1.40969e-06
nat_m_dev(2008)     0.458394 -1.71868e-06
nat_m_dev(2009)     0.422513  6.51445e-07
nat_m_dev(2010)      0.42106  8.60857e-07
nat_m_dev(2011)     0.449553  3.31178e-06
nat_m_dev(2012)     0.497207 -6.65655e-07
nat_m_dev(2013)      0.53838 -9.86715e-06
nat_m_dev(2014)     0.550127  6.91931e-06
nat_m_dev(2015)     0.509524 -7.59349e-06
nat_m_dev(2016)     0.391962 -4.83184e-06
nat_m_dev(2017)     0.218837 -5.88509e-06
nat_m_dev(2018)    0.0336305 -1.47184e-06
nat_m_dev(2019)    -0.118873 -7.15154e-06
nat_m_dev(2020)    -0.207518 -2.14549e-06
nat_m_dev(2021)    -0.214711 -5.59979e-07
nat_m_dev(2022)    -0.139623 -2.50241e-06
nat_m_dev(2023)            0 -1.00569e-05
log_avg_rec      8.69902 -0.000652936
rec_devs(1975)     -4.07849  0.000500223
rec_devs(1976)      5.41307  0.000177772
rec_devs(1977)      5.60679 -9.55211e-05
rec_devs(1978)      5.50378 -4.24339e-05
rec_devs(1979)      4.90614 -0.000127518
rec_devs(1980)       3.8853 -4.87058e-05
rec_devs(1981)     -18.3753  1.37632e-05
rec_devs(1982)      1.72766  -2.0317e-05
rec_devs(1983)      2.11548  -3.0655e-06
rec_devs(1984)      5.26324  2.41181e-06
rec_devs(1985)       5.4303 -3.40152e-05
rec_devs(1986)      4.09202 -5.99327e-05
rec_devs(1987)      6.36383 -0.000136264
rec_devs(1988)      4.31824 -4.46468e-05
rec_devs(1989)       5.5933 -7.21903e-05
rec_devs(1990)      5.05225 -7.42625e-05
rec_devs(1991)      5.32291  -3.4301e-05
rec_devs(1992)      4.81139 -4.65432e-05
rec_devs(1993)      5.43369  7.57564e-06
rec_devs(1994)      5.17341  4.64161e-05
rec_devs(1995)      4.73305  1.69484e-05
