ParName   Value   Gradient
log_n_init(1)      9.23088  2.91773e-07
log_n_init(2)       9.1753 -2.23921e-06
log_n_init(3)      9.18947  2.19806e-06
log_n_init(4)      9.47665 -2.34985e-06
log_n_init(5)      10.2028  1.08835e-06
log_n_init(6)      10.9344 -4.00941e-05
log_n_init(7)      10.7336  -7.1659e-06
log_n_init(8)      10.7333  -2.3379e-05
log_n_init(9)      10.4941   1.5828e-06
log_n_init(10)      10.6249 -4.14333e-07
log_n_init(11)      10.7001 -3.34523e-05
log_n_init(12)        10.73 -2.13369e-06
log_n_init(13)      10.9255 -9.21245e-05
log_n_init(14)      9.98798 -3.22406e-06
log_n_init(15)      9.29037 -1.10997e-05
log_n_init(16)      8.29447  1.07235e-06
log_n_init(17)      6.77156  1.73344e-06
log_n_init(18)      5.41072 -9.86436e-07
log_n_init(19)      4.66859   6.6456e-07
log_n_init(20)      4.79586  6.54099e-07
log_n_init(21)      5.94276 -1.36158e-06
log_n_init(22)      8.13041  2.24769e-06
log_n_init(23)      10.7842 -3.32073e-05
log_n_init(24)      8.03207  4.77809e-06
log_n_init(25)      5.50529  2.16063e-06
log_n_init(26)      3.62625 -1.35503e-06
log_n_init(27)      2.34379  2.72578e-07
log_n_init(28)      1.55811  1.69222e-06
log_n_init(29)      1.15664 -3.72274e-06
log_n_init(30)      1.01686 -2.65717e-06
log_n_init(31)         1.01 -2.96974e-07
log_n_init(32)      1.01001  6.00856e-07
log_n_init(33)      1.01002 -7.98356e-06
log_n_init(34)      1.01002  2.67065e-07
log_n_init(35)      1.01002  7.14887e-07
nat_m_dev(1976)     -1.36887  7.48345e-05
nat_m_dev(1977)     -1.12157  1.33785e-05
nat_m_dev(1978)     -0.80896  1.23158e-05
nat_m_dev(1979)    -0.374383  9.26754e-06
nat_m_dev(1980)     0.176587  5.93122e-06
nat_m_dev(1981)       0.5905  7.47853e-06
nat_m_dev(1982)     0.864483  2.46739e-07
nat_m_dev(1983)     0.711461 -2.26603e-06
nat_m_dev(1984)     0.125412 -1.31887e-05
nat_m_dev(1985)    -0.553412 -4.00595e-05
nat_m_dev(1986)     -1.04839 -5.24073e-05
nat_m_dev(1987)     -1.24664 -7.37717e-05
nat_m_dev(1988)     -1.13947 -7.88008e-05
nat_m_dev(1989)    -0.824913 -6.42924e-05
nat_m_dev(1990)    -0.412854 -7.61256e-05
nat_m_dev(1991)   -0.0241319 -8.66308e-05
nat_m_dev(1992)     0.310772 -4.47053e-05
nat_m_dev(1993)     0.687666  0.000120734
nat_m_dev(1994)      1.04704  0.000173332
nat_m_dev(1995)      1.14793  0.000149818
nat_m_dev(1996)     0.611109 -5.12753e-05
nat_m_dev(1997)      0.23832 -7.89511e-05
nat_m_dev(1998)    0.0844436 -1.23208e-05
nat_m_dev(1999)     0.185494  6.63329e-06
nat_m_dev(2000)     0.344106  2.96499e-06
nat_m_dev(2001)     0.551489  4.19228e-06
nat_m_dev(2002)      0.61889  3.19349e-07
nat_m_dev(2003)     0.488063  4.55928e-06
nat_m_dev(2004)     0.219423  7.44026e-07
nat_m_dev(2005)    -0.064967 -8.02496e-08
nat_m_dev(2006)   -0.0699446 -1.01873e-06
nat_m_dev(2007)    0.0506055 -1.79412e-06
nat_m_dev(2008)    0.0950196 -5.23421e-06
nat_m_dev(2009)   -0.0723691  9.84156e-07
nat_m_dev(2010)    -0.354503 -1.12971e-06
nat_m_dev(2011)    -0.605394 -1.04059e-06
nat_m_dev(2012)    -0.678096 -3.10259e-06
nat_m_dev(2013)    -0.497584  1.07678e-06
nat_m_dev(2014)   -0.0631649  2.95106e-07
nat_m_dev(2015)     0.487621  5.76291e-06
nat_m_dev(2016)     0.877885  9.37206e-06
nat_m_dev(2017)     0.932924  1.19517e-05
nat_m_dev(2018)      0.73753  1.02391e-05
nat_m_dev(2019)     0.389623  4.85532e-06
nat_m_dev(2020)    0.0792074  1.76101e-06
nat_m_dev(2021)   -0.0779966  3.55501e-06
nat_m_dev(2022)   -0.0659259 -6.24079e-07
