ParName   Value   Gradient
log_n_init(1)       1.1817 -1.20114e-07
log_n_init(2)      15.8571 -1.36172e-05
log_n_init(3)      15.9722  2.74443e-06
log_n_init(4)      16.0025   1.8995e-06
log_n_init(5)      16.3435 -7.03151e-07
log_n_init(6)      16.5043  1.22001e-05
log_n_init(7)      16.4561  5.99981e-06
log_n_init(8)      16.7174  2.41933e-05
log_n_init(9)      16.5756  3.92951e-06
log_n_init(10)      16.4294  1.67982e-05
log_n_init(11)      16.1242  9.81728e-06
log_n_init(12)      16.3374  2.83319e-05
log_n_init(13)      15.7275   1.7437e-05
log_n_init(14)      15.7661  1.15745e-05
log_n_init(15)      15.7226  1.67565e-05
log_n_init(16)      15.1671  3.77603e-06
log_n_init(17)      14.8221 -1.84107e-06
log_n_init(18)       15.021  3.43286e-07
log_n_init(19)      14.4861  1.71907e-05
log_n_init(20)      14.0913  1.12502e-05
log_n_init(21)       12.944  9.22543e-06
log_n_init(22)      12.9775  1.21797e-05
log_n_init(23)      11.7506  5.43301e-06
log_n_init(24)      11.1451  1.51102e-06
log_n_init(25)      1.01143  6.14382e-09
nat_m_dev(1978)     0.718785 -4.28384e-08
nat_m_dev(1979)    -0.152193  1.96747e-05
nat_m_dev(1980)    -0.725903  2.16713e-05
nat_m_dev(1981)    -0.739617  3.20933e-05
nat_m_dev(1982)     0.427376  3.38397e-05
nat_m_dev(1983)      1.81435  6.33432e-05
nat_m_dev(1984)      1.27683  7.60278e-05
nat_m_dev(1985)    -0.145478  5.22875e-05
nat_m_dev(1986)     -1.14909  4.54131e-05
nat_m_dev(1987)     -1.49686  4.30029e-05
nat_m_dev(1988)     -1.39471  4.43631e-05
nat_m_dev(1989)    -0.933312   6.0729e-05
nat_m_dev(1990)      -0.5812  6.67377e-05
nat_m_dev(1991)    -0.268695  8.36473e-05
nat_m_dev(1992)     0.104025  8.48207e-05
nat_m_dev(1993)      1.20086  0.000117856
nat_m_dev(1994)     0.267219  4.63578e-05
nat_m_dev(1995)    -0.833928  3.18357e-05
nat_m_dev(1996)    -0.614974  3.02121e-05
nat_m_dev(1997)     0.853548  1.14358e-05
nat_m_dev(1998)      2.25235   2.7893e-05
nat_m_dev(1999)     0.360752  3.02712e-05
nat_m_dev(2000)    0.0094924  2.89908e-05
nat_m_dev(2001)      1.12464  3.12823e-05
nat_m_dev(2002)     0.205642  3.01285e-05
nat_m_dev(2003)    -0.633181  2.72842e-05
nat_m_dev(2004)     -1.10247  2.90037e-05
nat_m_dev(2005)     -1.31315  2.86889e-05
nat_m_dev(2006)     -1.27398  2.57039e-05
nat_m_dev(2007)     -1.09758  2.10171e-05
nat_m_dev(2008)     -0.98721  2.58671e-05
nat_m_dev(2009)    -0.702159  2.24604e-06
nat_m_dev(2010)     0.241508 -4.66935e-05
nat_m_dev(2011)      1.50126 -0.000220286
nat_m_dev(2012)        1.547 -0.000143678
nat_m_dev(2013)   -0.0544044 -5.89258e-06
nat_m_dev(2014)    -0.238081  2.18813e-05
nat_m_dev(2015)     0.606104  2.50401e-05
nat_m_dev(2016)      1.05113  2.61063e-05
nat_m_dev(2017)    0.0765957  2.76133e-05
nat_m_dev(2018)    -0.375765  2.95384e-05
nat_m_dev(2019)     0.186168  2.25786e-05
nat_m_dev(2020)      0.95382  2.67949e-05
nat_m_dev(2021)     0.832073  3.16614e-05
nat_m_dev(2022)     0.517757  2.93313e-05
nat_m_dev(2023)            0  2.65651e-05
log_avg_rec      17.0483 -0.000307062
rec_devs(1978)     0.040971 -1.93704e-05
rec_devs(1979)    -0.168741 -3.54183e-05
rec_devs(1980)     0.350485  -3.0019e-05
rec_devs(1981)     0.767298 -6.69612e-05
rec_devs(1982)     0.322827 -6.33736e-05
rec_devs(1983)    0.0710467 -5.65464e-05
rec_devs(1984)    -0.437228 -7.77135e-05
rec_devs(1985)    -0.266014 -0.000134188
rec_devs(1986)    0.0259545 -0.000172575
rec_devs(1987)     0.211714 -0.000144673
rec_devs(1988)     0.063269 -8.91824e-05
rec_devs(1989)      0.57425 -6.33586e-05
rec_devs(1990)     0.528421 -4.53171e-05
rec_devs(1991)      0.17386  -2.9675e-05
rec_devs(1992)     0.523035 -1.91377e-05
rec_devs(1993)     0.718314 -1.17032e-05
rec_devs(1994)     0.286934 -8.29253e-06
rec_devs(1995)     0.106904 -2.59772e-05
rec_devs(1996)       0.7939 -2.64561e-05
rec_devs(1997)      1.00968 -3.20489e-05
rec_devs(1998)    -0.205584 -2.84504e-05
rec_devs(1999)     -1.41621 -3.63334e-05
rec_devs(2000)     -1.11334 -2.60172e-05
rec_devs(2001)     0.261044 -3.32151e-06
rec_devs(2002)    -0.312412  1.09308e-05
rec_devs(2003)    -0.288615  2.47961e-05
rec_devs(2004)    -0.376366  2.34423e-05
rec_devs(2005)     0.199362  5.25424e-05
rec_devs(2006)     0.180206  4.48879e-05
rec_devs(2007)     0.227962  3.76609e-05
rec_devs(2008)    -0.162257  6.66394e-06
rec_devs(2009)     0.145588  1.17123e-05
rec_devs(2010)     0.635427  1.97603e-05
rec_devs(2011)     0.509799  1.03884e-05
rec_devs(2012)    -0.375272 -1.36069e-05
rec_devs(2013)     -2.61584 -2.42293e-05
rec_devs(2014)     -1.01705 -2.05364e-05
rec_devs(2015)    -0.276706 -2.47086e-05
rec_devs(2016)     0.186648 -1.50045e-05
rec_devs(2017)     0.183476 -1.38632e-05
rec_devs(2018)       0.4779 -4.26021e-06
rec_devs(2019)      1.47939 -1.72993e-05
rec_devs(2020)     0.946286 -4.75397e-05
