fishery,management_area,target,crab_year,group,total_catch_num,total_catch_t
TR90,bristol_bay,red_king_crab,1990,sublegal,1719207.6857142856,2605.7810184494506
TR90,bristol_bay,red_king_crab,1990,tot_legal,3106210.3928571427,9016.01627715396
TR90,bristol_bay,red_king_crab,1990,female,2657639.8285714285,3196.2212692552434
TR91,bristol_bay,red_king_crab,1991,sublegal,1543525.643382353,2166.830409685746
TR91,bristol_bay,red_king_crab,1991,tot_legal,2659549.0625,7626.1085846425385
TR91,bristol_bay,red_king_crab,1991,female,306195.33088235295,233.93559558825487
TR92,bristol_bay,red_king_crab,1992,sublegal,2322746.396551724,2749.7953234010697
TR92,bristol_bay,red_king_crab,1992,tot_legal,1078290.6206896552,3166.435769776435
TR92,bristol_bay,red_king_crab,1992,female,2309196.4482758623,1976.3220687279047
TR93,bristol_bay,red_king_crab,1993,sublegal,2692511.53046595,3771.5167575047362
TR93,bristol_bay,red_king_crab,1993,tot_legal,2018699.8064516129,5745.327881427871
TR93,bristol_bay,red_king_crab,1993,female,2820617.818996416,3141.4844907697657
TR96,bristol_bay,red_king_crab,1996,sublegal,574436.9761904762,787.0045954426928
TR96,bristol_bay,red_king_crab,1996,tot_legal,1057110.857142857,3058.1632106905013
TR96,bristol_bay,red_king_crab,1996,female,10093.940476190477,5.075971181839787
TR97,bristol_bay,red_king_crab,1997,sublegal,709678.8245033112,940.1340920815661
TR97,bristol_bay,red_king_crab,1997,tot_legal,962575.4221854304,2818.7119787020883
TR97,bristol_bay,red_king_crab,1997,female,141603.99834437086,182.71676929379706
TR98,bristol_bay,red_king_crab,1998,sublegal,4968437.873310811,7437.384345374778
TR98,bristol_bay,red_king_crab,1998,tot_legal,2766860.5185810807,8207.457160411233
TR98,bristol_bay,red_king_crab,1998,female,2519041.560810811,2769.289704983868
TR99,bristol_bay,red_king_crab,1999,sublegal,1026938.6394557824,1778.4757162807828
TR99,bristol_bay,red_king_crab,1999,tot_legal,3608514.93877551,10333.86938087942
TR99,bristol_bay,red_king_crab,1999,female,19544.408163265307,27.990550234303363
TR00,bristol_bay,red_king_crab,2000,sublegal,1460847.949137148,1937.415422309698
TR00,bristol_bay,red_king_crab,2000,tot_legal,1630683.2188919163,4642.327414346071
TR00,bristol_bay,red_king_crab,2000,female,800503.4695731153,821.9370496307231
TR01,bristol_bay,red_king_crab,2001,sublegal,1304249.2818181817,1694.9074072370342
TR01,bristol_bay,red_king_crab,2001,tot_legal,1379716.809090909,4016.5949953646596
TR01,bristol_bay,red_king_crab,2001,female,555254.3606060606,604.0092036639566
TR02,bristol_bay,red_king_crab,2002,sublegal,1577621.6585365855,2276.6917597010774
TR02,bristol_bay,red_king_crab,2002,tot_legal,1626750.3848238483,4684.682272301366
TR02,bristol_bay,red_king_crab,2002,female,70155.82113821138,45.57945983512882
TR03,bristol_bay,red_king_crab,2003,sublegal,3200791.084158416,4147.048457681975
TR03,bristol_bay,red_king_crab,2003,tot_legal,2870097.2772277226,8019.401951416824
TR03,bristol_bay,red_king_crab,2003,female,1727518.8762376236,1784.368461125941
TR04,bristol_bay,red_king_crab,2004,sublegal,2254250.8083989504,2519.8605910569004
TR04,bristol_bay,red_king_crab,2004,tot_legal,2714171.2677165354,8172.158744570221
TR04,bristol_bay,red_king_crab,2004,female,854119.6942257218,859.1660503961228
TR05,bristol_bay,red_king_crab,2005,sublegal,2765531.514824798,3928.770521931505
TR05,bristol_bay,red_king_crab,2005,tot_legal,3178639.9568733154,9687.140963650285
TR05,bristol_bay,red_king_crab,2005,female,1682031.0943396227,2027.083004392137
TR06,bristol_bay,red_king_crab,2006,sublegal,1719941.4841389728,2473.6592333274975
TR06,bristol_bay,red_king_crab,2006,tot_legal,2355018.787764351,6780.317973827585
TR06,bristol_bay,red_king_crab,2006,female,221622.96072507554,187.4034425915522
TR07,bristol_bay,red_king_crab,2007,sublegal,3393278.1627084385,4544.313700216398
TR07,bristol_bay,red_king_crab,2007,tot_legal,3267468.9762506317,9327.616344231616
