fishery,management_area,target,crab_year,effort,sex_text,total_catch_num,total_catch_t
TT90,bristol_bay,tanner_crab,1990,493820,female,0,0
TT90,bristol_bay,tanner_crab,1990,493820,male,0,0
TT91,bristol_bay,tanner_crab,1991,360864,female,3506988.1690140846,3690.3029570952895
TT91,bristol_bay,tanner_crab,1991,360864,male,971791.5042253521,1890.5395681756156
TT92,bristol_bay,tanner_crab,1992,508922,female,649941.027093596,698.9917278701438
TT92,bristol_bay,tanner_crab,1992,508922,male,177370.59852216748,263.8535104666468
TT93,bristol_bay,tanner_crab,1993,286620,female,96926.18303571429,99.49833538364291
TT93,bristol_bay,tanner_crab,1993,286620,male,74533.99553571429,118.61369835714048
TT94,bristol_bay,tanner_crab,1994,228254,female,555.3625304136253,0.48829027416554566
TT94,bristol_bay,tanner_crab,1994,228254,male,16660.87591240876,38.906850662301494
TT95,bristol_bay,tanner_crab,1995,201988,female,0,0
TT95,bristol_bay,tanner_crab,1995,201988,male,0,0
TT96,bristol_bay,tanner_crab,1996,64989,female,0,0
TT96,bristol_bay,tanner_crab,1996,64989,male,0,0
TT97,bristol_bay,tanner_crab,1997,0,female,0,0
TT97,bristol_bay,tanner_crab,1997,0,male,0,0
TT98,bristol_bay,tanner_crab,1998,0,female,0,0
TT98,bristol_bay,tanner_crab,1998,0,male,0,0
TT99,bristol_bay,tanner_crab,1999,0,female,0,0
TT99,bristol_bay,tanner_crab,1999,0,male,0,0
TT00,bristol_bay,tanner_crab,2000,0,female,0,0
TT00,bristol_bay,tanner_crab,2000,0,male,0,0
TT01,bristol_bay,tanner_crab,2001,0,female,0,0
TT01,bristol_bay,tanner_crab,2001,0,male,0,0
TT02,bristol_bay,tanner_crab,2002,0,female,0,0
TT02,bristol_bay,tanner_crab,2002,0,male,0,0
TT03,bristol_bay,tanner_crab,2003,0,female,0,0
TT03,bristol_bay,tanner_crab,2003,0,male,0,0
TT04,bristol_bay,tanner_crab,2004,0,female,0,0
TT04,bristol_bay,tanner_crab,2004,0,male,0,0
TT05,bristol_bay,tanner_crab,2005,0,female,0,0
TT05,bristol_bay,tanner_crab,2005,0,male,0,0
TT06,bristol_bay,tanner_crab,2006,15273,female,981.8357142857142,0.8829129810654539
TT06,bristol_bay,tanner_crab,2006,15273,male,7854.685714285713,14.334249187531054
TT07,bristol_bay,tanner_crab,2007,26441,female,1778.6959896507115,1.6060877499302701
TT07,bristol_bay,tanner_crab,2007,26441,male,4412.534282018111,5.535587366576189
TT08,bristol_bay,tanner_crab,2008,19401,female,5209.823723228996,6.825214169438596
TT08,bristol_bay,tanner_crab,2008,19401,male,6200.649093904448,9.244737321630057
TT09,bristol_bay,tanner_crab,2009,6635,female,2642.7542372881358,3.4104654981501272
TT09,bristol_bay,tanner_crab,2009,6635,male,1611.8926553672318,3.0889888140037
TT10,bristol_bay,tanner_crab,2010,0,female,0,0
TT10,bristol_bay,tanner_crab,2010,0,male,0,0
TT11,bristol_bay,tanner_crab,2011,0,female,0,0
TT11,bristol_bay,tanner_crab,2011,0,male,0,0
TT12,bristol_bay,tanner_crab,2012,0,female,0,0
TT12,bristol_bay,tanner_crab,2012,0,male,0,0
TT13,bristol_bay,tanner_crab,2013,16633,female,68979.8754716981,75.63652818160406
TT13,bristol_bay,tanner_crab,2013,16633,male,20273.430188679245,37.42617308446315
TT14,bristol_bay,tanner_crab,2014,72768,female,65623.22305229456,68.90698637994446
TT14,bristol_bay,tanner_crab,2014,72768,male,34403.65421558164,68.58770166389365
TT15,bristol_bay,tanner_crab,2015,130302,female,433283.5788742182,449.0196800726485
TT15,bristol_bay,tanner_crab,2015,130302,male,116809.99305072968,189.22898276697796
TT16,bristol_bay,tanner_crab,2016,0,female,0,0
TT16,bristol_bay,tanner_crab,2016,0,male,0,0
TT17,bristol_bay,tanner_crab,2017,0,female,0,0
TT17,bristol_bay,tanner_crab,2017,0,male,0,0
TT18,bristol_bay,tanner_crab,2018,0,female,0,0
TT18,bristol_bay,tanner_crab,2018,0,male,0,0
TT19,bristol_bay,tanner_crab,2019,0,female,0,0
TT19,bristol_bay,tanner_crab,2019,0,male,0,0
TT20,bristol_bay,tanner_crab,2020,0,female,0,0
TT20,bristol_bay,tanner_crab,2020,0,male,0,0
TT21,bristol_bay,tanner_crab,2021,0,female,0,0
TT21,bristol_bay,tanner_crab,2021,0,male,0,0
TT22,bristol_bay,tanner_crab,2022,19434,female,0,0
TT22,bristol_bay,tanner_crab,2022,19434,male,0,0
