fishery,management_area,target,crab_year,sex,size,molting,soft,new_pliable,new,old,very_old,very_very_old,unknown,total
TR00,bristol_bay,red_king_crab,2000,male,62,0,0,0,2,0,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,66,0,0,0,1,1,0,0,0,2
TR00,bristol_bay,red_king_crab,2000,male,67,0,0,0,1,0,0,0,0,1
TR00,bristol_bay,red_king_crab,2000,male,69,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,male,70,0,0,0,3,0,0,0,0,3
TR00,bristol_bay,red_king_crab,2000,male,71,0,0,0,8,0,0,0,0,8
TR00,bristol_bay,red_king_crab,2000,male,72,0,0,0,14,0,0,0,0,14
TR00,bristol_bay,red_king_crab,2000,male,73,0,0,0,17,0,0,0,0,17
TR00,bristol_bay,red_king_crab,2000,male,74,0,0,0,24,0,0,0,0,24
TR00,bristol_bay,red_king_crab,2000,male,75,0,0,0,33,0,0,0,0,33
TR00,bristol_bay,red_king_crab,2000,male,76,0,0,0,24,0,0,0,0,24
TR00,bristol_bay,red_king_crab,2000,male,77,0,0,0,48,0,0,0,0,48
TR00,bristol_bay,red_king_crab,2000,male,78,0,0,0,60,0,0,0,0,60
TR00,bristol_bay,red_king_crab,2000,male,79,0,0,0,68,0,0,0,0,68
TR00,bristol_bay,red_king_crab,2000,male,80,0,0,0,87,0,0,0,0,87
TR00,bristol_bay,red_king_crab,2000,male,81,0,0,0,86,0,0,0,0,86
TR00,bristol_bay,red_king_crab,2000,male,82,0,0,0,172,0,0,0,0,172
TR00,bristol_bay,red_king_crab,2000,male,83,0,0,0,123,0,0,0,0,123
TR00,bristol_bay,red_king_crab,2000,male,84,0,0,0,137,0,0,0,0,137
TR00,bristol_bay,red_king_crab,2000,male,85,0,0,0,152,0,0,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,86,0,0,0,126,0,0,0,0,126
TR00,bristol_bay,red_king_crab,2000,male,87,0,0,0,172,0,0,0,0,172
TR00,bristol_bay,red_king_crab,2000,male,88,0,0,0,152,0,0,0,0,152
TR00,bristol_bay,red_king_crab,2000,male,89,0,0,0,163,0,0,0,0,163
TR00,bristol_bay,red_king_crab,2000,male,90,0,0,0,190,1,0,0,0,191
TR00,bristol_bay,red_king_crab,2000,male,91,0,0,0,129,0,0,0,0,129
TR00,bristol_bay,red_king_crab,2000,male,92,0,0,0,206,0,0,0,0,206
TR00,bristol_bay,red_king_crab,2000,male,93,0,0,0,147,0,0,0,0,147
TR00,bristol_bay,red_king_crab,2000,male,94,0,0,0,117,1,0,0,0,118
TR00,bristol_bay,red_king_crab,2000,male,95,0,0,0,186,0,0,0,0,186
TR00,bristol_bay,red_king_crab,2000,male,96,0,0,0,134,3,0,0,0,137
