fishery,management_area,target,crab_year,size,molting,soft,new_pliable,new,old,very_old,total
TR00,bristol_bay,red_king_crab,2000,81,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,92,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,105,0,0,0,2,0,0,2
TR00,bristol_bay,red_king_crab,2000,113,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,120,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,123,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,126,0,0,0,2,0,0,2
TR00,bristol_bay,red_king_crab,2000,127,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,129,0,0,0,1,0,0,1
TR00,bristol_bay,red_king_crab,2000,130,0,0,0,5,0,0,5
TR00,bristol_bay,red_king_crab,2000,131,0,0,0,4,0,0,4
TR00,bristol_bay,red_king_crab,2000,132,0,0,0,24,3,0,27
TR00,bristol_bay,red_king_crab,2000,133,0,0,0,40,4,0,44
TR00,bristol_bay,red_king_crab,2000,134,0,0,0,63,12,1,76
TR00,bristol_bay,red_king_crab,2000,135,0,0,0,121,11,0,132
TR00,bristol_bay,red_king_crab,2000,136,0,0,0,167,14,2,183
TR00,bristol_bay,red_king_crab,2000,137,0,0,0,239,33,0,272
TR00,bristol_bay,red_king_crab,2000,138,0,0,0,351,40,1,392
TR00,bristol_bay,red_king_crab,2000,139,0,0,0,307,29,1,337
TR00,bristol_bay,red_king_crab,2000,140,0,0,0,403,60,3,466
TR00,bristol_bay,red_king_crab,2000,141,0,0,0,368,49,1,418
TR00,bristol_bay,red_king_crab,2000,142,0,0,0,592,73,3,668
TR00,bristol_bay,red_king_crab,2000,143,0,0,0,601,83,5,689
TR00,bristol_bay,red_king_crab,2000,144,0,0,0,446,53,4,503
TR00,bristol_bay,red_king_crab,2000,145,0,0,0,573,70,2,645
TR00,bristol_bay,red_king_crab,2000,146,0,0,0,494,42,5,541
TR00,bristol_bay,red_king_crab,2000,147,0,0,0,534,66,4,604
TR00,bristol_bay,red_king_crab,2000,148,0,0,0,593,75,9,677
TR00,bristol_bay,red_king_crab,2000,149,0,0,0,445,76,4,525
TR00,bristol_bay,red_king_crab,2000,150,0,0,0,490,72,5,567
TR00,bristol_bay,red_king_crab,2000,151,0,0,0,359,68,6,433
TR00,bristol_bay,red_king_crab,2000,152,0,0,0,521,71,13,605
TR00,bristol_bay,red_king_crab,2000,153,0,0,0,460,75,11,546
TR00,bristol_bay,red_king_crab,2000,154,0,0,0,353,73,7,433
TR00,bristol_bay,red_king_crab,2000,155,0,0,0,351,61,11,423
TR00,bristol_bay,red_king_crab,2000,156,0,0,0,289,61,9,359
TR00,bristol_bay,red_king_crab,2000,157,0,0,0,307,61,10,378
TR00,bristol_bay,red_king_crab,2000,158,0,0,0,275,76,10,361
TR00,bristol_bay,red_king_crab,2000,159,0,0,0,185,45,10,240
TR00,bristol_bay,red_king_crab,2000,160,0,0,0,233,64,8,305
TR00,bristol_bay,red_king_crab,2000,161,0,0,0,177,42,9,228
TR00,bristol_bay,red_king_crab,2000,162,0,0,0,199,58,15,272
TR00,bristol_bay,red_king_crab,2000,163,0,0,0,172,46,13,231
TR00,bristol_bay,red_king_crab,2000,164,0,0,0,154,43,9,206
TR00,bristol_bay,red_king_crab,2000,165,0,0,0,134,43,6,183
TR00,bristol_bay,red_king_crab,2000,166,0,0,0,107,33,13,153
TR00,bristol_bay,red_king_crab,2000,167,0,0,0,92,29,6,127
TR00,bristol_bay,red_king_crab,2000,168,0,0,0,114,38,18,170
TR00,bristol_bay,red_king_crab,2000,169,0,0,0,72,20,5,97
TR00,bristol_bay,red_king_crab,2000,170,0,0,0,58,32,12,102
TR00,bristol_bay,red_king_crab,2000,171,0,0,0,53,22,5,80
TR00,bristol_bay,red_king_crab,2000,172,0,0,0,58,24,6,88
TR00,bristol_bay,red_king_crab,2000,173,0,0,0,46,19,3,68
TR00,bristol_bay,red_king_crab,2000,174,0,0,0,27,14,2,43
TR00,bristol_bay,red_king_crab,2000,175,0,0,0,31,8,0,39
TR00,bristol_bay,red_king_crab,2000,176,0,0,0,34,9,1,44
TR00,bristol_bay,red_king_crab,2000,177,0,0,0,16,12,3,31
