Year,coldpool,lag_cold,Ice,lag_ice
1975,41,NA,41,NA
1976,44.33333333,41,44.33333333,41
1977,31.5,44.33333333,31.5,44.33333333
1978,28.16666667,31.5,28.16666667,31.5
1979,18.16666667,28.16666667,18.16666667,28.16666667
1980,32,18.16666667,32,18.16666667
1981,26,32,26,32
1982,27.83333333,26,27.83333333,26
1983,28.66666667,27.83333333,28.66666667,27.83333333
1984,29.16666667,28.66666667,29.16666667,28.66666667
1985,24.16666667,29.16666667,24.16666667,29.16666667
1986,27,24.16666667,27,24.16666667
1987,24.33333333,27,24.33333333,27
1988,29.66666667,24.33333333,29.66666667,24.33333333
1989,23.66666667,29.66666667,23.66666667,29.66666667
1990,31.83333333,23.66666667,31.83333333,23.66666667
1991,33.5,31.83333333,33.5,31.83333333
1992,34.5,33.5,34.5,33.5
1993,27.5,34.5,27.5,34.5
1994,29.5,27.5,29.5,27.5
1995,34,29.5,34,29.5
1996,24.66666667,34,24.66666667,34
1997,31.16666667,24.66666667,31.16666667,24.66666667
1998,29.83333333,31.16666667,29.83333333,31.16666667
1999,34.83333333,29.83333333,34.83333333,29.83333333
2000,30.16666667,34.83333333,30.16666667,34.83333333
2001,17.33333333,30.16666667,17.33333333,30.16666667
2002,29.5,17.33333333,29.5,17.33333333
2003,23.66666667,29.5,23.66666667,29.5
2004,25.33333333,23.66666667,25.33333333,23.66666667
2005,23,25.33333333,23,25.33333333
2006,31.16666667,23,31.16666667,23
2007,30,31.16666667,30,31.16666667
2008,35.33333333,30,35.33333333,30
2009,35.5,35.33333333,35.5,35.33333333
2010,34.66666667,35.5,34.66666667,35.5
2011,29.66666667,34.66666667,29.66666667,34.66666667
2012,38.66666667,29.66666667,38.66666667,29.66666667
2013,34,38.66666667,34,38.66666667
2014,21,34,21,34
2015,21.5,21,21.5,21
2016,17.66666667,21.5,17.66666667,21.5
2017,24.16666667,17.66666667,24.16666667,17.66666667
2018,10.16666667,24.16666667,10.16666667,24.16666667
2019,12.33333333,10.16666667,12.33333333,10.16666667
2020,27.66666667,12.33333333,27.66666667,12.33333333
2021,24.33333333,27.66666667,24.33333333,27.66666667
2022,28,24.33333333,28,24.33333333
2023,27.33333333,28,27.33333333,28
2024,27.33333333,27.33333333,27.33333333,27.33333333
2025,22.66666667,27.33333333,22.66666667,27.33333333
