"","x"
"1",0.998460873624324
"2",0.997817283554655
"3",0.996905408564838
"4",0.995614253342387
"5",0.993787746891537
"6",0.991207283760325
"7",0.987568349146814
"8",0.982450077555176
"9",0.975277300219624
"10",0.965276570466642
"11",0.951431845649744
"12",0.932453308860371
"13",0.906785276918176
"14",0.872694961924628
"15",0.828495230024599
"16",0.772942259396739
"17",0.705785027837011
"18",0.628316188295366
"19",0.543638687237079
"20",0.456361312762921
"21",0.371683811704634
"22",0.294214972162989
"23",0.227057740603261
"24",0.171504769975401
"25",0.127305038075372
