#year	season	fleet	sex	obs	cv	type	units	mult	effort	discard_mortality
1990	3	1	2	3196.2	0.07	0	1	1	0	0.2
1991	3	1	2	233.9	0.07	0	1	1	0	0.2
1992	3	1	2	1976.3	0.07	0	1	1	0	0.2
1993	3	1	2	3141.5	0.07	0	1	1	0	0.2
1996	3	1	2	5.1	0.07	0	1	1	0	0.2
1997	3	1	2	182.7	0.07	0	1	1	0	0.2
1998	3	1	2	2769.3	0.07	0	1	1	0	0.2
1999	3	1	2	28.0	0.07	0	1	1	0	0.2
2000	3	1	2	821.9	0.07	0	1	1	0	0.2
2001	3	1	2	604.0	0.07	0	1	1	0	0.2
2002	3	1	2	45.6	0.07	0	1	1	0	0.2
2003	3	1	2	1784.4	0.07	0	1	1	0	0.2
2004	3	1	2	859.2	0.07	0	1	1	0	0.2
2005	3	1	2	2027.1	0.07	0	1	1	0	0.2
2006	3	1	2	187.4	0.07	0	1	1	0	0.2
2007	3	1	2	799.4	0.07	0	1	1	0	0.2
2008	3	1	2	724.2	0.07	0	1	1	0	0.2
2009	3	1	2	441.3	0.07	0	1	1	0	0.2
2010	3	1	2	592.6	0.07	0	1	1	0	0.2
2011	3	1	2	124.8	0.07	0	1	1	0	0.2
2012	3	1	2	55.9	0.07	0	1	1	0	0.2
2013	3	1	2	490.7	0.07	0	1	1	0	0.2
2014	3	1	2	424.3	0.07	0	1	1	0	0.2
2015	3	1	2	1195.6	0.07	0	1	1	0	0.2
2016	3	1	2	617.2	0.07	0	1	1	0	0.2
2017	3	1	2	266.9	0.07	0	1	1	0	0.2
2018	3	1	2	750.4	0.07	0	1	1	0	0.2
2019	3	1	2	218.0	0.07	0	1	1	0	0.2
2020	3	1	2	76.1	0.07	0	1	1	0	0.2
2021	3	1	2	29.4	0.07	0	1	1	0	0.2
2022	3	1	2	NA	0.07	0	1	1	0	0.2
