opening_year,retained_number,retained_lbs,retained_t
1975,8745430,,23281.2
1976,10603330,,28993.6
1977,11733260,,31736.9
1978,14746360,,39743
1979,16809530,,48910
1980,20845370,,58943.6
1981,5308100,,15236.8
1982,541400,,1361.3
1983,0,,0
1984,794700,,1897.1
1985,796900,,1893.8
1986,2112000,,5168.2
1987,2122100,,5574.2
1988,1236800,,3351.1
1989,1685800,,4656
1990,3135382,20443043,9272.80076
1991,2630446,17177894,7791.755295
1992,1201129,8070129,3660.545953
1993,2597084,15246500,6915.690428
1994,0,0,0
1995,0,0,0
1996,1265860,8521818,3865.42847
1997,1337308,8889496,4032.20427
1998,2232600,14944499,6778.70519
1999,1918470,11782819,5344.592436
2000,1265502,8196479,3717.857303
2001,1299382,8484481.5,3848.492933
2002,1490324,9614910.2,4361.246347
2003,2514225,15663946,7105.040594
2004,2262950,15384156,6978.130088
2005,2730321,18294677.04,8298.319148
2006,2455618,15616816,7083.662803
2007,3139337,20366065,9237.884155
2008,3066288,20329402,9221.254112
2009,2537222,15932653.3,7226.924076
2010,2398487,14833829,6728.506164
2011,1298446,7957954,3609.664271
2012,1175752,7984547,3621.726643
2013,1272273,8798634,3990.989993
2014,1501209,10005943,4538.615697
2015,1526974,10171435,4613.681545
2016,1281194,8650649,3923.865181
2017,997214,6820431,3093.692938
2018,629907,4467576,2026.456733
2019,548516,3913941,1775.332326
2020,455262,2771163,1256.977367
2021,6230,38465,17.44741628
2022,,,
2023,,,
