,SURVEY_YEAR,ABUNDANCE,ABUNDANCE_CV
1,1975,124295312.3,0.226031084
2,1976,216498987.9,0.252767504
3,1977,170522164.5,0.169748349
4,1978,157353332.3,0.2080247
5,1979,71318010.57,0.204893911
6,1980,122142802.9,0.254413451
7,1981,59427775.06,0.149271478
8,1982,122871874.2,0.358873324
9,1983,51891203.61,0.247020034
10,1984,173977080,0.69257421
11,1985,24451809.17,0.175647176
12,1986,29993907.69,0.439376248
13,1987,39011108.1,0.231040043
14,1988,22893906.49,0.176840778
15,1989,25056848.93,0.214044276
16,1990,23320247.53,0.215824462
17,1991,32980165.93,0.420786423
18,1992,15791448.78,0.182994763
19,1993,20685989.44,0.196380068
20,1994,15614071.17,0.248357871
21,1995,20117874.42,0.297716439
22,1996,24655201.52,0.261709389
23,1997,44923126.35,0.325373855
24,1998,32243734.67,0.166288922
25,1999,28713791.15,0.252529073
26,2000,24725142.4,0.172056441
27,2001,19371171.7,0.174962276
28,2002,36538214.77,0.256534671
29,2003,43171192.3,0.263435206
30,2004,67040681.71,0.360470549
31,2005,47075433.28,0.272929695
32,2006,37548725.28,0.18822466
33,2007,35718590.54,0.175417976
34,2008,38079797.77,0.26187748
35,2009,25200621.56,0.338002744
36,2010,21149409.91,0.213985683
37,2011,46779810.34,0.642647741
38,2012,17683773.04,0.242657442
39,2013,19560812.57,0.203605694
40,2014,35165748.53,0.24339341
41,2015,18321521.3,0.202633543
42,2016,13661290.92,0.221894805
43,2017,11005148.59,0.156485974
44,2018,8338444.514,0.159017125
45,2019,8713790.159,0.172840824
,2020,0,10
46,2021,9826809.861,0.167430525
47,2022,12445654.55,0.169425285
48,2023,12262200.91,0.163864959
