"","crab_year","tot_cat"
"1",1990,4825418.07857143
"2",1991,4203074.70588235
"3",1992,3401037.01724138
"4",1993,4711211.33691756
"5",1996,1631547.83333333
"6",1997,1672254.24668874
"7",1998,7735298.39189189
"8",1999,4635453.57823129
"9",2000,3091531.16802906
"10",2001,2683966.09090909
"11",2002,3204372.04336043
"12",2003,6070888.36138614
"13",2004,4968422.07611549
"14",2005,5944171.47169811
"15",2006,4074960.27190332
"16",2007,6660747.13895907
"17",2008,6838492.25731311
"18",2009,5675216.49587979
"19",2010,4731004.35743802
"20",2011,2636998.8310992
"21",2012,1765785.35881104
"22",2013,2180378.6845152
"23",2014,3230013.75448029
"24",2015,2634490.88986784
"25",2016,2228069.4392936
"26",2017,1727996.71779859
"27",2018,1540810.33834586
"28",2019,1362202.43497758
"29",2020,1118248.47169811
"30",2021,16170
"31",2022,10970.6666666667
"32",2023,NA
